学校,学院,url
重庆理工大学,车辆工程学院,http://clgc.cqut.edu.cn/sjdhtplb.jsp?urltype=tree.TreeTempUrl&wbtreeid=1009
重庆理工大学,车辆工程学院,http://clgc.cqut.edu.cn/sjdhtplb.jsp?a43411t=7&a43411p=2&a43411c=10&urltype=tree.TreeTempUrl&wbtreeid=1009
重庆理工大学,车辆工程学院,http://clgc.cqut.edu.cn/sjdhtplb.jsp?a43411t=7&a43411p=3&a43411c=10&urltype=tree.TreeTempUrl&wbtreeid=1009
重庆理工大学,车辆工程学院,http://clgc.cqut.edu.cn/sjdhtplb.jsp?a43411t=7&a43411p=4&a43411c=10&urltype=tree.TreeTempUrl&wbtreeid=1009
重庆理工大学,车辆工程学院,http://clgc.cqut.edu.cn/sjdhtplb.jsp?a43411t=7&a43411p=5&a43411c=10&urltype=tree.TreeTempUrl&wbtreeid=1009
重庆理工大学,车辆工程学院,http://clgc.cqut.edu.cn/sjdhtplb.jsp?a43411t=7&a43411p=6&a43411c=10&urltype=tree.TreeTempUrl&wbtreeid=1009
重庆理工大学,车辆工程学院,http://clgc.cqut.edu.cn/sjdhtplb.jsp?a43411t=7&a43411p=7&a43411c=10&urltype=tree.TreeTempUrl&wbtreeid=1009
燕山大学,车辆与能源学院,http://vec.ysu.edu.cn/teachers_xibu.asp?xid=1
燕山大学,机械工程学院,http://mec.ysu.edu.cn/mdt/teachers_xibu.aspx?xid=2
燕山大学,机械工程学院,http://mec.ysu.edu.cn/mdt/teachers_xibu.aspx?xid=3
燕山大学,机械工程学院,http://mec.ysu.edu.cn/mdt/teachers_xibu.aspx?xid=4
燕山大学,机械工程学院,http://mec.ysu.edu.cn/mdt/teachers_xibu.aspx?xid=5
燕山大学,机械工程学院,http://mec.ysu.edu.cn/mdt/teachers_xibu.aspx?xid=6
燕山大学,机械工程学院,http://mec.ysu.edu.cn/mdt/teachers_xibu.aspx?xid=7
燕山大学,机械工程学院,http://mec.ysu.edu.cn/mdt/teachers_xibu.aspx?xid=8
河北工业大学,机械工程学院,http://mes.hebut.edu.cn/infor/?pageName=teachingList&columnID=19
河北农业大学,机电工程学院,http://jidian.hebau.edu.cn/jigou/jixie.html
河南科技大学,车辆与交通工程学院,http://cd.haust.edu.cn/szdw.htm
河南工业大学,机电工程学院,http://jdxy.haut.edu.cn/xygk1/szdw/qyjs.htm
河南工业大学,机电工程学院,http://jdxy.haut.edu.cn/xygk1/szdw/qyjs/5.htm
河南工业大学,机电工程学院,http://jdxy.haut.edu.cn/xygk1/szdw/qyjs/4.htm
河南工业大学,机电工程学院,http://jdxy.haut.edu.cn/xygk1/szdw/qyjs/3.htm
河南工业大学,机电工程学院,http://jdxy.haut.edu.cn/xygk1/szdw/qyjs/2.htm
河南工业大学,机电工程学院,http://jdxy.haut.edu.cn/xygk1/szdw/qyjs/1.htm
山东大学,机械工程学院,http://www.mech.sdu.edu.cn/szdw/jsdw.htm
山东大学,机械与电子工程学院,http://jdxy.sdau.edu.cn/2138/list.htm
山东大学,机械与电子工程学院,http://jdxy.sdau.edu.cn/2139/list.htm
山东大学,机械与电子工程学院,http://jdxy.sdau.edu.cn/2139/list2.htm
哈尔滨工业大学,机电工程学院,http://sme.hit.edu.cn/yjsds/list.htm
中国石油大学,机电工程学院,http://medwww.upc.edu.cn/697/list.htm
中国石油大学,机电工程学院,http://medwww.upc.edu.cn/698/list.htm
中国石油大学,机电工程学院,http://medwww.upc.edu.cn/699/list.htm
中国石油大学,机电工程学院,http://medwww.upc.edu.cn/700/list.htm
中国石油大学,机电工程学院,http://medwww.upc.edu.cn/702/list.htm
中国石油大学,机电工程学院,http://medwww.upc.edu.cn/703/list.htm
中国石油大学,机电工程学院,http://medwww.upc.edu.cn/705/list.htm
中国石油大学,机电工程学院,http://medwww.upc.edu.cn/706/list.htm
中国石油大学,机电工程学院,http://medwww.upc.edu.cn/707/list.htm
山东科技大学,交通学院,http://jt.sdust.edu.cn/index.php?m=Index&a=articlelist&cate_id=30
山东科技大学,交通学院,http://jt.sdust.edu.cn/index.php?m=Index&a=articlelist&cate_id=3&_URL_=&p=2
山东理工大学,交通与车辆工程,http://jtxy.sdut.edu.cn/1033/list.htm
山东建筑大学,机电工程学院,http://xwzx2016.sdjzu.edu.cn/jdxy/szdw/jxsjjys.htm
山东建筑大学,机电工程学院,http://xwzx2016.sdjzu.edu.cn/jdxy/szdw/jxzzjys.htm
山东建筑大学,机电工程学院,http://xwzx2016.sdjzu.edu.cn/jdxy/szdw/jxdzjys.htm
山东建筑大学,机电工程学院,http://xwzx2016.sdjzu.edu.cn/jdxy/szdw/jxjcjys.htm
山东建筑大学,机电工程学院,http://xwzx2016.sdjzu.edu.cn/jdxy/szdw/clgcjys.htm
山东建筑大学,机电工程学院,http://xwzx2016.sdjzu.edu.cn/jdxy/szdw/yljgjys.htm
山东交通学院,汽车工程学院,http://qcgc.sdjtu.edu.cn/channels/ch00555/
鲁东大学,交通学院,http://www.jt.ldu.edu.cn/szdw/jsml.htm
临沂大学,机械与车辆工程学院,http://jxxy.lyu.edu.cn/2890/list.htm
临沂大学,机械与车辆工程学院,http://jxxy.lyu.edu.cn/2891/list.htm
临沂大学,机械与车辆工程学院,http://jxxy.lyu.edu.cn/2892/list.htm
临沂大学,机械与车辆工程学院,http://jxxy.lyu.edu.cn/js/list.htm
临沂大学,机械与车辆工程学院,http://jxxy.lyu.edu.cn/js/list2.htm
临沂大学,机械与车辆工程学院,http://jxxy.lyu.edu.cn/js/list3.htm
潍坊学院,机电与车辆工程学院,http://jid.wfu.edu.cn/s/29/t/553/p/1/c/5832/list.htm
青岛理工大学,机械与汽车工程学院,http://jxxy.qut.edu.cn/xygk/szdw/jsml.htm
